,STATE,Year of Data,Total Revenue from Federal Sources
1198,5,15,2704
1199,5,15,5210
1200,5,15,22332
1201,5,15,3714
1202,5,15,2191
1203,5,15,2325
1204,5,15,9834
1205,5,15,7739
1206,5,15,50309
1207,5,15,2586
1208,5,15,16344
1209,5,15,1099
1210,5,15,4591
1211,5,15,7444
1212,5,15,7658
1213,5,15,5610
1214,5,15,20906
1215,5,15,17532
1216,5,15,2301
1217,5,15,14304
1218,5,15,10436
1219,5,15,583
1220,5,15,0
1221,5,15,0
1222,5,15,777
1223,5,15,0
1224,5,15,73843
1225,5,15,16568
1226,5,15,12489
1227,5,15,13605
1228,5,15,187
1229,5,15,76
1230,5,15,1772
1231,5,15,279
1232,5,15,2356
1233,5,15,937
1234,5,15,331
1235,5,15,4454
1236,5,15,795
1237,5,15,538
1238,5,15,393
1239,5,15,1889
1240,5,15,4165
1241,5,15,6621
1242,5,15,4411
1243,5,15,3080
1244,5,15,0
1245,5,15,0
1246,5,15,2912
1247,5,15,15707
1248,5,15,6064
1249,5,15,8301
1250,5,15,27211
1251,5,15,34505
1252,5,15,30
1253,5,15,18393
1254,5,15,24404
1255,5,15,24564
1256,5,15,4838
1257,5,15,11403
1258,5,15,1749
1259,5,15,25716
1260,5,15,4387
1261,5,15,9290
1262,5,15,10142
1263,5,15,41039
1264,5,15,3520
1265,5,15,11154
1266,5,15,65896
1267,5,15,11259
1268,5,15,18162
1269,5,15,36811
1270,5,15,400
1271,5,15,4165
1272,5,15,53823
1273,5,15,10760
1274,5,15,6090
1275,5,15,1923
1276,5,15,42138
1277,5,15,8836
1278,5,15,2951
1279,5,15,78047
1280,5,15,43910
1281,5,15,260
1282,5,15,2175
1283,5,15,0
1284,5,15,0
1285,5,15,4433
1286,5,15,14
1287,5,15,1
1288,5,15,1910
1289,5,15,853
1290,5,15,66
1291,5,15,3
1292,5,15,14
1293,5,15,384
1294,5,15,9065
1295,5,15,2470
1296,5,15,11063
1297,5,15,4755
1298,5,15,2088
1299,5,15,3048
1300,5,15,17026
1301,5,15,17823
1302,5,15,24077
1303,5,15,2422
1304,5,15,5241
1305,5,15,41428
1306,5,15,769
1307,5,15,19725
1308,5,15,1067
1309,5,15,11914
1310,5,15,1298
1311,5,15,60
1312,5,15,1734
1313,5,15,26529
1314,5,15,892
1315,5,15,15074
1316,5,15,26572
1317,5,15,2803
1318,5,15,70636
1319,5,15,3538
1320,5,15,7677
1321,5,15,11989
1322,5,15,12620
1323,5,15,6329
1324,5,15,1178
1325,5,15,5709
1326,5,15,179
1327,5,15,11216
1328,5,15,1145
1329,5,15,1625
1330,5,15,661
1331,5,15,17760
1332,5,15,237
1333,5,15,5441
1334,5,15,23530
1335,5,15,2905
1336,5,15,516
1337,5,15,1149
1338,5,15,2213
1339,5,15,18989
1340,5,15,7475
1341,5,15,12315
1342,5,15,3556
1343,5,15,20186
1344,5,15,521
1345,5,15,1320
1346,5,15,83
1347,5,15,4467
1348,5,15,10691
1349,5,15,5094
1350,5,15,4004
1351,5,15,9720
1352,5,15,25516
1353,5,15,11716
1354,5,15,2928
1355,5,15,98
1356,5,15,13684
1357,5,15,145722
1358,5,15,4965
1359,5,15,240
1360,5,15,4026
1361,5,15,4554
1362,5,15,894
1363,5,15,8785
1364,5,15,501
1365,5,15,33669
1366,5,15,260
1367,5,15,22433
1368,5,15,604
1369,5,15,4828
1370,5,15,55800
1371,5,15,14803
1372,5,15,735
1373,5,15,1664
1374,5,15,4824
1375,5,15,934
1376,5,15,6975
1377,5,15,1870
1378,5,15,28751
1379,5,15,19003
1380,5,15,128
1381,5,15,1353
1382,5,15,234
1383,5,15,1465
1384,5,15,60580
1385,5,15,10229
1386,5,15,3085
1387,5,15,8058
1388,5,15,242
1389,5,15,64
1390,5,15,4117
1391,5,15,877
1392,5,15,232
1393,5,15,891
1394,5,15,0
1395,5,15,565
1396,5,15,9705
1397,5,15,0
1398,5,15,142
1399,5,15,1084
1400,5,15,142
1401,5,15,1055
1402,5,15,1685
1403,5,15,129
1404,5,15,302
1405,5,15,1022
1406,5,15,2344
1407,5,15,1393
1408,5,15,752
1409,5,15,288
1410,5,15,732
1411,5,15,999
1412,5,15,137
1413,5,15,5974
1414,5,15,9226
1415,5,15,1524
1416,5,15,760
1417,5,15,5189
1418,5,15,3566
1419,5,15,5045
1420,5,15,4821
1421,5,15,28
1422,5,15,72
1423,5,15,743
1424,5,15,11
1425,5,15,167
1426,5,15,317
1427,5,15,16632
1428,5,15,1644
1429,5,15,483
1430,5,15,410
1431,5,15,96
1432,5,15,2547
1433,5,15,12104
1434,5,15,22660
1435,5,15,6264
1436,5,15,339
1437,5,15,227
1438,5,15,36
1439,5,15,1260
1440,5,15,1946
1441,5,15,9652
1442,5,15,14457
1443,5,15,4428
1444,5,15,1259
1445,5,15,6486
1446,5,15,2391
1447,5,15,4871
1448,5,15,18449
1449,5,15,6564
1450,5,15,9740
1451,5,15,4748
1452,5,15,10084
1453,5,15,52
1454,5,15,152
1455,5,15,1004
1456,5,15,850
1457,5,15,1042
1458,5,15,948
1459,5,15,5978
1460,5,15,2625
1461,5,15,3206
1462,5,15,1612
1463,5,15,23425
1464,5,15,7203
1465,5,15,562
1466,5,15,5640
1467,5,15,23927
1468,5,15,10263
1469,5,15,544
1470,5,15,4268
1471,5,15,1709
1472,5,15,503
1473,5,15,0
1474,5,15,0
1475,5,15,6044
1476,5,15,72
1477,5,15,54
1478,5,15,1836
1479,5,15,47
