,State,Year,Data
792,Rhode Island,2010,3000
793,Rhode Island,2015,2000
794,Rhode Island,2011,3000
795,Rhode Island,2012,3000
796,Rhode Island,2014,2000
797,Rhode Island,2016,2000
798,Rhode Island,2017,2000
799,Rhode Island,2019,2000
800,South Carolina,2019,11000
801,South Carolina,2017,11000
802,South Carolina,2016,13000
803,South Carolina,2014,10000
804,South Carolina,2012,15000
805,South Carolina,2011,18000
806,South Carolina,2015,10000
807,South Carolina,2010,17000
808,South Carolina,2009,18000
809,South Carolina,2018,13000
810,South Carolina,2013,13000
811,South Carolina,2008,18000
812,South Carolina,2007,23000
813,South Carolina,2006,20000
814,South Carolina,2005,20000
815,South Carolina,2004,21000
816,South Carolina,2003,15000
817,South Carolina,2002,22000
818,South Carolina,2001,18000
819,South Carolina,2000,29000
820,South Dakota,2000,4000
821,South Dakota,2001,3000
822,South Dakota,2002,3000
823,South Dakota,2003,3000
824,South Dakota,2004,2000
825,South Dakota,2005,3000
826,South Dakota,2006,3000
827,South Dakota,2007,3000
828,South Dakota,2008,3000
829,South Dakota,2013,2000
830,South Dakota,2018,3000
831,South Dakota,2009,3000
832,South Dakota,2010,4000
833,South Dakota,2015,3000
834,South Dakota,2011,2000
835,South Dakota,2012,1000
836,South Dakota,2014,2000
837,South Dakota,2016,2000
838,South Dakota,2017,2000
839,South Dakota,2019,2000
840,Tennessee,2019,10000
841,Tennessee,2017,12000
842,Tennessee,2016,10000
843,Tennessee,2014,14000
844,Tennessee,2012,12000
845,Tennessee,2011,13000
846,Tennessee,2015,9000
847,Tennessee,2010,16000
848,Tennessee,2009,18000
849,Tennessee,2018,12000
850,Tennessee,2013,11000
851,Tennessee,2008,23000
852,Tennessee,2007,24000
853,Tennessee,2006,20000
854,Tennessee,2005,24000
855,Tennessee,2004,30000
856,Tennessee,2003,23000
857,Tennessee,2002,27000
858,Tennessee,2001,29000
859,Tennessee,2000,31000
860,Texas,2000,162000
861,Texas,2001,140000
862,Texas,2002,124000
863,Texas,2003,111000
864,Texas,2004,116000
865,Texas,2005,98000
866,Texas,2006,105000
867,Texas,2007,116000
868,Texas,2008,105000
869,Texas,2013,75000
870,Texas,2018,67000
871,Texas,2009,105000
872,Texas,2010,99000
873,Texas,2015,71000
874,Texas,2011,88000
875,Texas,2012,79000
876,Texas,2014,79000
877,Texas,2016,76000
878,Texas,2017,74000
879,Texas,2019,68000
880,Utah,2019,7000
881,Utah,2017,8000
882,Utah,2016,10000
883,Utah,2014,8000
884,Utah,2012,9000
885,Utah,2011,6000
886,Utah,2015,7000
887,Utah,2010,10000
888,Utah,2009,8000
889,Utah,2018,6000
890,Utah,2013,7000
891,Utah,2008,12000
892,Utah,2007,9000
893,Utah,2006,10000
894,Utah,2005,10000
895,Utah,2004,8000
896,Utah,2003,8000
897,Utah,2002,11000
898,Utah,2001,13000
899,Utah,2000,10000
900,Vermont,2000,2000
901,Vermont,2001,3000
902,Vermont,2002,2000
903,Vermont,2003,2000
904,Vermont,2004,1000
905,Vermont,2005,2000
906,Vermont,2006,2000
907,Vermont,2007,1000
908,Vermont,2008,1000
909,Vermont,2013,1000
910,Vermont,2018,S
911,Vermont,2009,2000
912,Vermont,2010,1000
913,Vermont,2015,1000
914,Vermont,2011,1000
915,Vermont,2012,1000
916,Vermont,2014,1000
917,Vermont,2016,1000
918,Vermont,2017,1000
919,Vermont,2019,1000
920,Virginia,2019,10000
921,Virginia,2017,10000
922,Virginia,2016,13000
923,Virginia,2014,10000
924,Virginia,2012,13000
925,Virginia,2011,16000
926,Virginia,2015,14000
927,Virginia,2010,15000
928,Virginia,2009,17000
929,Virginia,2018,8000
930,Virginia,2013,14000
931,Virginia,2008,19000
932,Virginia,2007,22000
933,Virginia,2006,23000
934,Virginia,2005,21000
935,Virginia,2004,26000
936,Virginia,2003,20000
937,Virginia,2002,28000
938,Virginia,2001,24000
939,Virginia,2000,31000
940,Washington,2000,28000
941,Washington,2001,30000
942,Washington,2002,26000
943,Washington,2003,20000
944,Washington,2004,23000
945,Washington,2005,24000
946,Washington,2006,23000
947,Washington,2007,25000
948,Washington,2008,25000
949,Washington,2013,12000
950,Washington,2018,14000
951,Washington,2009,23000
952,Washington,2010,20000
953,Washington,2015,16000
954,Washington,2011,17000
955,Washington,2012,16000
956,Washington,2014,16000
957,Washington,2016,17000
958,Washington,2017,16000
959,Washington,2019,14000
960,West Virginia,2019,4000
961,West Virginia,2017,3000
962,West Virginia,2016,4000
963,West Virginia,2014,4000
964,West Virginia,2012,4000
965,West Virginia,2011,6000
966,West Virginia,2015,3000
967,West Virginia,2010,6000
968,West Virginia,2009,9000
969,West Virginia,2018,3000
970,West Virginia,2013,4000
971,West Virginia,2008,8000
972,West Virginia,2007,7000
973,West Virginia,2006,8000
974,West Virginia,2005,7000
975,West Virginia,2004,6000
976,West Virginia,2003,9000
977,West Virginia,2002,6000
978,West Virginia,2001,8000
979,West Virginia,2000,7000
980,Wisconsin,2000,16000
981,Wisconsin,2001,23000
982,Wisconsin,2002,19000
983,Wisconsin,2003,11000
984,Wisconsin,2004,21000
985,Wisconsin,2005,16000
986,Wisconsin,2006,16000
987,Wisconsin,2007,14000
988,Wisconsin,2008,12000
989,Wisconsin,2013,11000
990,Wisconsin,2018,12000
991,Wisconsin,2009,13000
992,Wisconsin,2010,14000
993,Wisconsin,2015,10000
994,Wisconsin,2011,13000
995,Wisconsin,2012,9000
996,Wisconsin,2014,10000
997,Wisconsin,2016,13000
998,Wisconsin,2017,9000
999,Wisconsin,2019,10000
1000,Wyoming,2019,1000
1001,Wyoming,2017,1000
1002,Wyoming,2016,1000
1003,Wyoming,2014,1000
1004,Wyoming,2012,1000
1005,Wyoming,2011,1000
1006,Wyoming,2015,3000
1007,Wyoming,2010,2000
1008,Wyoming,2009,2000
1009,Wyoming,2018,1000
1010,Wyoming,2013,1000
1011,Wyoming,2008,2000
1012,Wyoming,2007,2000
1013,Wyoming,2006,2000
1014,Wyoming,2005,2000
1015,Wyoming,2004,2000
1016,Wyoming,2003,2000
1017,Wyoming,2002,2000
1018,Wyoming,2001,3000
1019,Wyoming,2000,3000
