,State,Year,Total Federal Revenue,Total State Revenue,Employed per 1k,% Employed,Teacher Pay,Pop. Below Poverty Level,Percent of Pop. Below Poverty Level,Grdn Bachelor Degree+,Grdn HS Diploma or GED,Grdn No HS Diploma,Grdn Some College,Student/Teacher Ratio,Teen Preg. Rate (State),Dropouts,Food Insecurity Rate,Child food insecurity rate
106,Hawaii,2016,954837.0,7780711.0,,,57674.0,30507.0,10.1,322.0,345.0,122.0,333.0,15.41,19.2,2000.0,0.129,0.19319999999999998
107,Hawaii,2017,932489.0,7939731.0,,,57866.0,34441.0,11.5,348.0,333.0,122.0,328.0,15.03,19.1,2000.0,0.1202,0.1712
109,Idaho,2010,728361.0,2217889.0,30.0,33.7,47416.0,80316.0,19.0,263.0,325.0,187.0,393.0,17.6,33.0,5000.0,0.16522727272727275,0.22715909090909092
110,Idaho,2011,596688.0,2537754.0,24.0,28.8,48551.0,85173.0,20.4,257.0,348.0,204.0,378.0,17.5,27.7,4000.0,0.15813636363636366,0.21654545454545457
111,Idaho,2012,512246.0,2681035.0,32.0,33.3,49734.0,86532.0,20.7,279.0,330.0,198.0,408.0,19.56,28.3,4000.0,0.15045454545454545,0.21115909090909096
112,Idaho,2013,459132.0,3118413.0,34.0,34.7,50945.0,80676.0,19.1,290.0,339.0,197.0,405.0,19.76,25.7,6000.0,0.15077272727272728,0.21343181818181814
113,Idaho,2014,455586.0,3247115.0,33.0,33.2,45218.0,80025.0,18.8,271.0,354.0,222.0,397.0,18.64,23.2,3000.0,0.14547727272727273,0.1992727272727273
114,Idaho,2015,458457.0,3460798.0,36.0,39.7,45409.0,75634.0,17.8,308.0,315.0,223.0,413.0,18.67,22.5,6000.0,0.1364090909090909,0.18220454545454548
115,Idaho,2016,464852.0,3583134.0,32.0,37.3,47504.0,76266.0,17.7,305.0,347.0,180.0,465.0,18.34,20.1,3000.0,0.13211363636363635,0.17670454545454548
116,Idaho,2017,478167.0,3732337.0,32.0,37.0,49225.0,67147.0,15.3,339.0,335.0,191.0,450.0,18.15,18.6,5000.0,0.12543181818181826,0.16915909090909087
118,Illinois,2010,673692.0,2860999.0,187.0,25.8,63005.0,600045.0,19.4,2873.0,2890.0,1673.0,2704.0,15.73,33.0,37000.0,0.13556862745098042,0.21747058823529422
119,Illinois,2011,612100.0,2945175.0,182.0,26.6,66053.0,658340.0,21.6,2892.0,2873.0,1699.0,2778.0,15.81,29.5,36000.0,0.12073529411764704,0.20746078431372553
120,Illinois,2012,410051.0,3173205.0,192.0,27.7,59113.0,624272.0,20.7,2914.0,2942.0,1614.0,2682.0,15.28,27.9,26000.0,0.12477450980392156,0.2131568627450979
121,Illinois,2013,420820.0,3193838.0,185.0,26.3,60124.0,616060.0,20.7,3130.0,2781.0,1499.0,2818.0,15.16,24.6,25000.0,0.13530392156862744,0.2299411764705882
122,Illinois,2014,419415.0,3265012.0,196.0,28.5,61083.0,593186.0,20.2,3097.0,2692.0,1564.0,2947.0,15.48,22.8,25000.0,0.12316666666666667,0.21489215686274507
123,Illinois,2015,475273.0,3967809.0,212.0,31.1,61342.0,558784.0,19.1,3290.0,2772.0,1530.0,2733.0,15.71,21.1,23000.0,0.11936274509803922,0.19297058823529412
124,Illinois,2016,453922.0,3949517.0,200.0,28.6,61602.0,511679.0,17.7,3423.0,2641.0,1448.0,2744.0,15.72,18.7,26000.0,0.11579411764705881,0.17851960784313728
125,Illinois,2017,537064.0,4016495.0,203.0,30.6,65776.0,486196.0,17.0,3394.0,2740.0,1338.0,2741.0,15.64,17.4,25000.0,0.11038235294117647,0.16833333333333336
127,Indiana,2010,1059915.0,3662243.0,95.0,23.1,50407.0,342172.0,21.7,979.0,1927.0,855.0,1281.0,18.02,37.3,25000.0,0.14607608695652172,0.2199782608695652
