State,Year,Data
Tennessee,2004,30000
Tennessee,2003,23000
Tennessee,2002,27000
Tennessee,2001,29000
Tennessee,2000,31000
Texas,2000,162000
Texas,2001,140000
Texas,2002,124000
Texas,2003,111000
Texas,2004,116000
Texas,2005,98000
Texas,2006,105000
Texas,2007,116000
Texas,2008,105000
Texas,2013,75000
Texas,2018,67000
Texas,2009,105000
Texas,2010,99000
Texas,2015,71000
Texas,2011,88000
Texas,2012,79000
Texas,2014,79000
Texas,2016,76000
Texas,2017,74000
Texas,2019,68000
Utah,2019,7000
Utah,2017,8000
Utah,2016,10000
Utah,2014,8000
Utah,2012,9000
Utah,2011,6000
Utah,2015,7000
Utah,2010,10000
Utah,2009,8000
Utah,2018,6000
Utah,2013,7000
Utah,2008,12000
Utah,2007,9000
Utah,2006,10000
Utah,2005,10000
Utah,2004,8000
Utah,2003,8000
Utah,2002,11000
Utah,2001,13000
Utah,2000,10000
Vermont,2000,2000
Vermont,2001,3000
Vermont,2002,2000
Vermont,2003,2000
Vermont,2004,1000
Vermont,2005,2000
Vermont,2006,2000
Vermont,2007,1000
Vermont,2008,1000
Vermont,2013,1000
Vermont,2018,S
Vermont,2009,2000
Vermont,2010,1000
Vermont,2015,1000
Vermont,2011,1000
Vermont,2012,1000
Vermont,2014,1000
Vermont,2016,1000
Vermont,2017,1000
Vermont,2019,1000
Virginia,2019,10000
Virginia,2017,10000
Virginia,2016,13000
Virginia,2014,10000
Virginia,2012,13000
Virginia,2011,16000
Virginia,2015,14000
Virginia,2010,15000
Virginia,2009,17000
Virginia,2018,8000
Virginia,2013,14000
Virginia,2008,19000
Virginia,2007,22000
Virginia,2006,23000
Virginia,2005,21000
Virginia,2004,26000
Virginia,2003,20000
Virginia,2002,28000
Virginia,2001,24000
Virginia,2000,31000
Washington,2000,28000
Washington,2001,30000
Washington,2002,26000
Washington,2003,20000
Washington,2004,23000
Washington,2005,24000
Washington,2006,23000
Washington,2007,25000
Washington,2008,25000
Washington,2013,12000
Washington,2018,14000
Washington,2009,23000
Washington,2010,20000
Washington,2015,16000
Washington,2011,17000
Washington,2012,16000
Washington,2014,16000
Washington,2016,17000
Washington,2017,16000
Washington,2019,14000
West Virginia,2019,4000
West Virginia,2017,3000
West Virginia,2016,4000
West Virginia,2014,4000
West Virginia,2012,4000
West Virginia,2011,6000
West Virginia,2015,3000
West Virginia,2010,6000
West Virginia,2009,9000
West Virginia,2018,3000
West Virginia,2013,4000
West Virginia,2008,8000
West Virginia,2007,7000
West Virginia,2006,8000
West Virginia,2005,7000
West Virginia,2004,6000
West Virginia,2003,9000
West Virginia,2002,6000
West Virginia,2001,8000
West Virginia,2000,7000
Wisconsin,2000,16000
Wisconsin,2001,23000
Wisconsin,2002,19000
Wisconsin,2003,11000
Wisconsin,2004,21000
Wisconsin,2005,16000
Wisconsin,2006,16000
Wisconsin,2007,14000
Wisconsin,2008,12000
Wisconsin,2013,11000
Wisconsin,2018,12000
Wisconsin,2009,13000
Wisconsin,2010,14000
Wisconsin,2015,10000
Wisconsin,2011,13000
Wisconsin,2012,9000
Wisconsin,2014,10000
Wisconsin,2016,13000
Wisconsin,2017,9000
Wisconsin,2019,10000
Wyoming,2019,1000
Wyoming,2017,1000
Wyoming,2016,1000
Wyoming,2014,1000
Wyoming,2012,1000
Wyoming,2011,1000
Wyoming,2015,3000
Wyoming,2010,2000
Wyoming,2009,2000
Wyoming,2018,1000
Wyoming,2013,1000
Wyoming,2008,2000
Wyoming,2007,2000
Wyoming,2006,2000
Wyoming,2005,2000
Wyoming,2004,2000
Wyoming,2003,2000
Wyoming,2002,2000
Wyoming,2001,3000
Wyoming,2000,3000
