,State Name,Total Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio 
154,NEVADA,439634,21131.5,20.8
155,NEW HAMPSHIRE,191900,15049.2,12.75
156,NEW JERSEY,1356431,109719.1,12.36
157,NEW MEXICO,337225,21956.68,15.36
158,NEW YORK,2704718,209526.78,12.91
159,NORTH CAROLINA,1507864,97308.09,15.5
160,NORTH DAKOTA,97646,8525.02,11.45
161,NORTHERN MARIANAS,11011,496,22.2
162,OHIO,1740030,107971.68,16.12
163,OKLAHOMA,666120,41349.4,16.11
164,OREGON,568208,26790.98,21.21
165,PENNSYLVANIA,1771395,124645.61,14.21
166,PUERTO RICO,452740,33079,13.69
167,RHODE ISLAND,142854,11414,12.52
168,SOUTH CAROLINA,727186,46782.2,15.54
169,SOUTH DAKOTA,128016,9246.78,13.84
170,TENNESSEE,999693,66381.7,15.06
171,TEXAS,5000470,324281.97,15.42
172,U.S. VIRGIN ISLANDS,15711,1217,12.91
173,UTAH,598832,25969.65,23.06
174,VERMONT,89908,8363.69,10.75
175,VIRGINIA,1257883,90831.79,13.85
176,WASHINGTON,1045453,53118.65,19.68
177,WEST VIRGINIA,282870,20247.47,13.97
178,WISCONSIN,871105,56244.93,15.49
179,WYOMING,90099,7846.91,11.48
180,ALABAMA,,42113.64,17.56
181,ALASKA,,7656.78,17.1
182,AMERICAN SAMOA,,0.0,†
183,ARIZONA,,48510.41,23.53
184,ARKANSAS,,38019.16,13.03
185,BUREAU OF INDIAN EDUCATION,,5585.0,7.83
186,CALIFORNIA,,271805.2,23.08
187,COLORADO,,53146.65,17.15
188,CONNECTICUT,,42827.56,12.3
189,DELAWARE,,9623.64,14.38
190,DISTRICT OF COLUMBIA,,7312.33,12.82
191,FLORIDA,,164398.7,17.31
192,GEORGIA,,117159.3,15.08
193,GUAM,,2163.0,13.74
194,HAWAII,,12132.1,14.94
195,IDAHO,,16745.31,18.54
196,ILLINOIS,,132423.1,14.97
197,INDIANA,,61154.81,17.26
198,IOWA,,35618.46,14.45
199,KANSAS,,36723.89,13.55
200,KENTUCKY,,41826.9,16.21
201,LOUISIANA,,38913.16,18.29
202,MAINE,,15033.9,12
203,MARYLAND,,60698.9,14.78
204,MASSACHUSETTS,,73868.49,13.03
205,MICHIGAN,,85015.36,17.69
206,MINNESOTA,,57698.44,15.41
207,MISSISSIPPI,,31962.71,14.75
208,MISSOURI,,68498.46,13.34
209,MONTANA,,10575.24,14.07
210,NEBRASKA,,23911.6,13.65
211,NEVADA,,23240.0,21.45
212,NEW HAMPSHIRE,,14643.5,12.19
213,NEW JERSEY,,116188.6,12.05
214,NEW MEXICO,,21139.21,15.78
215,NEW YORK,,212156.9,12.73
216,NORTH CAROLINA,,100220.3,15.49
217,NORTH DAKOTA,,9470.08,12.02
218,OHIO,,101739.4,16.67
219,OKLAHOMA,,42447.9,16.46
220,OREGON,,30151.69,20.21
221,PENNSYLVANIA,,123350.4,14.03
222,PUERTO RICO,,25424.0,12.09
223,RHODE ISLAND,,10749.13,13.34
224,SOUTH CAROLINA,,52729.5,14.81
225,SOUTH DAKOTA,,9865.42,14.09
226,TENNESSEE,,64116.0,15.72
227,TEXAS,,359575.9,15.11
228,U.S. VIRGIN ISLANDS,,1020.0,10.51
229,UTAH,,29753.4,22.75
230,VERMONT,,8316.97,10.5
231,VIRGINIA,,86973.59,14.82
232,WASHINGTON,,61837.41,18.17
233,WEST VIRGINIA,,18911.6,14.17
234,WISCONSIN,,59483.65,14.45
235,WYOMING,,7327.39,12.87
236,,,,
237,,,,
238,"Data Source: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""State Nonfiscal Public Elementary/Secondary Education Survey"", 2018-19 v.1a.",,,
239,,,,
240,† indicates that the data are not applicable.,,,
241,– indicates that the data are missing.,,,
242,‡ indicates that the data do not meet NCES data quality standards.,,,
243,ALABAMA,744637,51877.22,14.35
244,ALASKA,131489,7682.18,17.12
245,AMERICAN SAMOA,–,–,†
246,ARIZONA,1089384,48866.42,22.29
247,ARKANSAS,486157,34131.42,14.24
248,BUREAU OF INDIAN EDUCATION,–,5308.35,†
249,CALIFORNIA,6299451,266254.85,23.66
250,COLORADO,863561,48921.79,17.65
251,CONNECTICUT,550954,43931.33,12.54
252,DELAWARE,129026,9257,13.94
253,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,†
254,DISTRICT OF COLUMBIA,76140,5925.1,12.85
255,FLORIDA,2692162,176537.21,15.25
256,GEORGIA,1703332,109364.9,15.57
257,GUAM,31186,2291,13.61
258,HAWAII,184760,11608.2,15.92
259,IDAHO,284834,14563.19,19.56
260,ILLINOIS,2072880,135700.7,15.28
261,INDIANA,1041369,59863.28,17.4
262,IOWA,499825,35080.24,14.25
263,KANSAS,489043,41243.2,11.86
264,KENTUCKY,685167,42769.46,16.02
265,LOUISIANA,710903,46493.41,15.29
266,MAINE,185739,15222.08,12.2
267,MARYLAND,859638,57718.49,14.89
268,MASSACHUSETTS,954773,70636.26,13.52
269,MICHIGAN,1555370,86153.59,18.05
270,MINNESOTA,845404,53584.59,15.78
271,MISSISSIPPI,493650,32613.46,15.14
272,MISSOURI,917900,66248.19,13.86
273,MONTANA,142908,10199.89,14.01
274,NEBRASKA,303505,22102.87,13.73
275,NEVADA,445707,20694.95,21.54
276,NEW HAMPSHIRE,188974,14924.7,12.66
277,NEW JERSEY,1372203,110928.64,12.37
278,NEW MEXICO,338220,22200.73,15.23
279,NEW YORK,2710703,207060.33,13.09
280,NORTH CAROLINA,1518465,98590.41,15.4
281,NORTH DAKOTA,101111,8677.44,11.65
282,NORTHERN MARIANAS,10646,409,26.03
283,OHIO,1729916,105999.8,16.32
284,OKLAHOMA,673483,41774.7,16.12
285,OREGON,587564,26410.15,22.25
286,PENNSYLVANIA,1763677,123146.79,14.32
287,PUERTO RICO,434609,30986,14.03
288,RHODE ISLAND,142481,9871.31,14.43
289,SOUTH CAROLINA,735998,48072.1,15.31
290,SOUTH DAKOTA,130471,9333.89,13.98
291,TENNESSEE,993496,66406.23,14.96
292,TEXAS,5077659,327356.92,15.51
293,U.S. VIRGIN ISLANDS,15192,1129,13.46
294,UTAH,613279,26609.86,23.05
295,VERMONT,89624,8402.74,10.67
296,VIRGINIA,1265419,89388.63,14.16
297,WASHINGTON,1051694,53698.77,19.59
298,WEST VIRGINIA,283044,20101.15,14.08
299,WISCONSIN,872436,57550.78,15.16
300,WYOMING,91533,7349.54,12.45
301,ALABAMA,743789,40766.22,18.25
302,ALASKA,132477,7832.15,16.91
303,AMERICAN SAMOA,–,–,–
304,ARIZONA,1109040,47943.56,23.13
305,ARKANSAS,492132,35803.87,13.75
306,BUREAU OF INDIAN EDUCATION,–,–,–
307,CALIFORNIA,6226737,263474.9,23.63
308,COLORADO,899112,51798.13,17.36
309,CONNECTICUT,537933,43772.31,12.29
310,DELAWARE,134847,8961.71,15.05
311,DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,74970,–,–
312,DISTRICT OF COLUMBIA,84024,6789.09,12.38
313,FLORIDA,2792234,182586.3,15.29
314,GEORGIA,1757237,113031,15.55
315,GUAM,30821,2336,13.19
316,HAWAII,181995,11746.9,15.49
317,IDAHO,292277,15656.42,18.67
318,ILLINOIS,2041779,129948.2,15.71
319,INDIANA,1046757,57674.85,18.15
320,IOWA,508014,35687.49,14.24
321,KANSAS,495884,40035.33,12.39
322,KENTUCKY,686598,41902.11,16.39
323,LOUISIANA,718711,58469.25,12.29
324,MAINE,181613,14857,12.22
325,MARYLAND,879601,59414.16,14.8
